living_region,client_id
74,1
98,1
АДЫГЕЯ РЕСП,9
АЛТАЙСКИЙ,2
АЛТАЙСКИЙ КРАЙ,8
АМУРСКАЯ ОБЛ,12
АМУРСКАЯ ОБЛАСТЬ,19
АО НЕНЕЦКИЙ,20
АО ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ - Ю,540
АО ЯМАЛО-НЕНЕЦКИЙ,140
АОБЛ ЕВРЕЙСКАЯ,4
АРХАНГЕЛЬСКАЯ,1
АРХАНГЕЛЬСКАЯ ОБЛ,17
АРХАНГЕЛЬСКАЯ ОБЛАСТЬ,7
АСТРАХАНСКАЯ,25
АСТРАХАНСКАЯ ОБЛ,30
АСТРАХАНСКАЯ ОБЛАСТЬ,141
БАШКОРТОСТАН,24
БАШКОРТОСТАН РЕСП,127
БЕЛГОРОДСКАЯ ОБЛ,29
БЕЛГОРОДСКАЯ ОБЛАСТЬ,23
БРЯНСКАЯ ОБЛ,13
БРЯНСКАЯ ОБЛАСТЬ,7
БРЯНСКИЙ,1
БУРЯТИЯ,18
БУРЯТИЯ РЕСП,26
ВЛАДИМИРСКАЯ ОБЛ,30
ВЛАДИМИРСКАЯ ОБЛАСТЬ,21
ВОЛГОГРАДСКАЯ ОБЛ,26
ВОЛГОГРАДСКАЯ ОБЛАСТЬ,38
ВОЛОГОДСКАЯ,39
ВОЛОГОДСКАЯ ОБЛ,8
ВОЛОГОДСКАЯ ОБЛ.,1
ВОЛОГОДСКАЯ ОБЛАСТЬ,39
ВОРОНЕЖСКАЯ ОБЛ,13
ВОРОНЕЖСКАЯ ОБЛАСТЬ,10
Г МОСКВА,18
Г. МОСКВА,58
Г. САНКТ-ПЕТЕРБУРГ,35
ГОРЬКОВСКАЯ ОБЛ,19
ГУСЬ-ХРУСТАЛЬНЫЙ Р-Н,1
ДАГЕСТАН РЕСП,6
ЕВРЕЙСКАЯ АВТОНОМНАЯ,11
ЕВРЕЙСКАЯ АОБЛ,178
ЗАБАЙКАЛЬСКИЙ КРАЙ,58
ИВАНОВСКАЯ ОБЛ,6
ИВАНОВСКАЯ ОБЛАСТЬ,6
ИНГУШЕТИЯ РЕСП,1
ИРКУТСКАЯ ОБЛ,138
ИРКУТСКАЯ ОБЛАСТЬ,95
КАБАРДИНО-БАЛКАРСКАЯ,11
КАБАРДИНО-БАЛКАРСКАЯ РЕСП,33
КАЛИНИНГРАДСКАЯ ОБЛ,14
КАЛИНИНГРАДСКАЯ ОБЛ.,1
КАЛМЫКИЯ,1
КАЛМЫКИЯ РЕСП,3
КАЛУЖСКАЯ,1
КАЛУЖСКАЯ ОБЛ,13
КАЛУЖСКАЯ ОБЛАСТЬ,12
КАМЧАТСКАЯ ОБЛАСТЬ,3
КАМЧАТСКИЙ КРАЙ,8
КАРАЧАЕВО-ЧЕРКЕССКАЯ,1
КАРАЧАЕВО-ЧЕРКЕССКАЯ РЕСП,15
КАРЕЛИЯ,1
КАРЕЛИЯ РЕСП,2
КЕМЕРОВСКАЯ,1
КЕМЕРОВСКАЯ ОБЛ,35
КЕМЕРОВСКАЯ ОБЛАСТЬ,24
КИРОВСКАЯ ОБЛ,8
КИРОВСКАЯ ОБЛАСТЬ,1
КОМИ,1
КОМИ РЕСП,18
КОСТРОМСКАЯ ОБЛ,5
КОСТРОМСКАЯ ОБЛАСТЬ,4
КРАЙ АЛТАЙСКИЙ,514
КРАЙ ЗАБАЙКАЛЬСКИЙ,1124
КРАЙ КАМЧАТСКИЙ,384
КРАЙ КРАСНОДАРСКИЙ,852
КРАЙ КРАСНОЯРСКИЙ,187
КРАЙ ПЕРМСКИЙ,822
КРАЙ ПРИМОРСКИЙ,39
КРАЙ СТАВРОПОЛЬСКИЙ,2576
КРАЙ ХАБАРОВСКИЙ,68
КРАЙ. КРАСНОЯРСКИЙ,1
КРАЙ. ПЕРМСКИЙ,1
КРАЙ. СТАВРОПОЛЬСКИЙ,1
КРАЙ.ПЕРМСКИЙ,1
КРАСНОДАРСКИЙ,9
КРАСНОДАРСКИЙ КРАЙ,6950
КРАСНОЯРСКИЙ КРАЙ,2757
КУРГАНСКАЯ ОБЛ,25
КУРГАНСКАЯ ОБЛАСТЬ,8
КУРСКАЯ ОБЛ,52
КУРСКАЯ ОБЛАСТЬ,47
ЛЕНИНГРАДСКАЯ,18
ЛЕНИНГРАДСКАЯ ОБЛ,79
ЛЕНИНГРАДСКАЯ ОБЛАСТЬ,113
ЛИПЕЦКАЯ ОБЛ,12
ЛИПЕЦКАЯ ОБЛАСТЬ,12
МАГАДАНСКАЯ ОБЛАСТЬ,1
МАРИЙ ЭЛ РЕСП,16
МОРДОВИЯ РЕСП,6
МОСКВА,5076
МОСКВА Г,3375
МОСКВОСКАЯ ОБЛ,1
МОСКОВСКАЯ,8
МОСКОВСКАЯ ОБЛ,333
МОСКОВСКАЯ ОБЛАСТЬ,216
МУРМАНСКАЯ ОБЛ,16
МУРМАНСКАЯ ОБЛАСТЬ,11
МЫТИЩИНСКИЙ Р-Н,1
НЕНЕЦКИЙ АО,144
НИЖЕГОРОДСКАЯ ОБЛ,68
НИЖЕГОРОДСКАЯ ОБЛАСТЬ,48
НОВГОРОДСКАЯ ОБЛ,16
НОВГОРОДСКАЯ ОБЛАСТЬ,5
НОВОСИБИРСКАЯ,1
НОВОСИБИРСКАЯ ОБЛ,41
НОВОСИБИРСКАЯ ОБЛАСТЬ,7
ОБЛ АМУРСКАЯ,791
ОБЛ АРХАНГЕЛЬСКАЯ,1597
ОБЛ АСТРАХАНСКАЯ,2438
ОБЛ БЕЛГОРОДСКАЯ,661
ОБЛ БРЯНСКАЯ,742
ОБЛ ВЛАДИМИРСКАЯ,1392
ОБЛ ВОЛГОГРАДСКАЯ,2182
ОБЛ ВОЛОГОДСКАЯ,2461
ОБЛ ВОРОНЕЖСКАЯ,1594
ОБЛ ИВАНОВСКАЯ,875
ОБЛ ИРКУТСКАЯ,3869
ОБЛ КАЛИНИНГРАДСКАЯ,661
ОБЛ КАЛУЖСКАЯ,1041
ОБЛ КЕМЕРОВСКАЯ,2699
ОБЛ КИРОВСКАЯ,603
ОБЛ КОСТРОМСКАЯ,472
ОБЛ КУРГАНСКАЯ,1236
ОБЛ КУРСКАЯ,1083
ОБЛ ЛЕНИНГРАДСКАЯ,3057
ОБЛ ЛИПЕЦКАЯ,814
ОБЛ МАГАДАНСКАЯ,149
ОБЛ МОСКОВСКАЯ,11371
ОБЛ МУРМАНСКАЯ,1288
ОБЛ НИЖЕГОРОДСКАЯ,3354
ОБЛ НОВГОРОДСКАЯ,694
ОБЛ НОВОСИБИРСКАЯ,1949
ОБЛ ОМСКАЯ,87
ОБЛ ОРЕНБУРГСКАЯ,102
ОБЛ ОРЛОВСКАЯ,73
ОБЛ ПЕНЗЕНСКАЯ,73
ОБЛ ПСКОВСКАЯ,198
ОБЛ РОСТОВСКАЯ,226
ОБЛ РЯЗАНСКАЯ,59
ОБЛ САМАРСКАЯ,2761
ОБЛ САРАТОВСКАЯ,126
ОБЛ САХАЛИНСКАЯ,22
ОБЛ СВЕРДЛОВСКАЯ,1274
ОБЛ СМОЛЕНСКАЯ,46
ОБЛ ТАМБОВСКАЯ,62
ОБЛ ТВЕРСКАЯ,89
ОБЛ ТОМСКАЯ,48
ОБЛ ТУЛЬСКАЯ,76
ОБЛ ТЮМЕНСКАЯ,586
ОБЛ УЛЬЯНОВСКАЯ,50
ОБЛ ЧЕЛЯБИНСКАЯ,657
ОБЛ ЯРОСЛАВСКАЯ,52
ОБЛ. БЕЛГОРОДСКАЯ,1
ОБЛ. ВЛАДИМИРСКАЯ,1
ОБЛ. КИРОВСКАЯ,1
ОБЛ. КУРГАНСКАЯ,1
ОБЛ. ЛИПЕЦКАЯ,1
ОБЛ. МУРМАНСКАЯ,1
ОБЛ. НОВОСИБИРСКАЯ,1
ОБЛ. СВЕРДЛОВСКАЯ,3
ОБЛ. ЧЕЛЯБИНСКАЯ,1
ОБЛ.МОСКОВСКАЯ,1
ОБЛ.НИЖЕГОРОДСКАЯ,1
ОБЛ.РОСТОВСКАЯ,1
ОБЛ.САРАТОВСКАЯ,1
ОМСКАЯ,1
ОМСКАЯ ОБЛ,543
ОМСКАЯ ОБЛАСТЬ,249
ОРЁЛ,1
ОРЕНБУРГСКАЯ ОБЛ,897
ОРЕНБУРГСКАЯ ОБЛАСТЬ,259
ОРЛОВСКАЯ ОБЛ,424
ОРЛОВСКАЯ ОБЛАСТЬ,222
ПЕНЗЕНСКАЯ ОБЛ,486
ПЕНЗЕНСКАЯ ОБЛАСТЬ,321
ПЕРМСКАЯ ОБЛ,49
ПЕРМСКИЙ,1
ПЕРМСКИЙ КРАЙ,2597
ПРИВОЛЖСКИЙ ФЕДЕРАЛЬНЫЙ ОКРУГ,1
ПРИМОРСКИЙ КРАЙ,1165
ПСКОВСКАЯ ОБЛ,219
ПСКОВСКАЯ ОБЛАСТЬ,123
РЕСП АДЫГЕЯ,356
РЕСП АЛТАЙ,50
РЕСП БАШКОРТОСТАН,4633
РЕСП БУРЯТИЯ,1174
РЕСП ДАГЕСТАН,53
РЕСП ИНГУШЕТИЯ,16
РЕСП КАБАРДИНО-БАЛКАРСКАЯ,561
РЕСП КАЛМЫКИЯ,180
РЕСП КАРАЧАЕВО-ЧЕРКЕССКАЯ,546
РЕСП КАРЕЛИЯ,543
РЕСП КОМИ,1230
РЕСП МАРИЙ ЭЛ,479
РЕСП МОРДОВИЯ,463
РЕСП САХА /ЯКУТИЯ/,71
РЕСП СЕВЕРНАЯ ОСЕТИЯ - АЛАНИЯ,44
РЕСП ТАТАРСТАН,294
РЕСП ТЫВА,28
РЕСП УДМУРТСКАЯ,58
РЕСП ХАКАСИЯ,134
РЕСП ЧЕЧЕНСКАЯ,13
РЕСП ЧУВАШСКАЯ - ЧУВАШИЯ,1
РЕСП. БАШКОРТОСТАН,1396
РЕСП. КОМИ,1
РЕСП. САХА (ЯКУТИЯ),509
РЕСП.БАШКОРТОСТАН,1
РЕСПУБЛИКА АДЫГЕЯ,161
РЕСПУБЛИКА АЛТАЙ,3
РЕСПУБЛИКА БУРЯТИЯ,359
РЕСПУБЛИКА ДАГЕСТАН,6
РЕСПУБЛИКА КАЛМЫКИЯ,108
РЕСПУБЛИКА КАРЕЛИЯ,108
РЕСПУБЛИКА КОМИ,537
РЕСПУБЛИКА МАРИЙ ЭЛ,171
РЕСПУБЛИКА МОРДОВИЯ,211
РЕСПУБЛИКА САХА,1
РЕСПУБЛИКА ТАТАРСТАН,2035
РЕСПУБЛИКА ТЫВА,134
РЕСПУБЛИКА ХАКАСИЯ,1
РЕСПУБЛИКАТАТАРСТАН,1
РОССИЯ,2
РОСТОВСКАЯ,4
РОСТОВСКАЯ ОБЛ,2867
РОСТОВСКАЯ ОБЛАСТЬ,983
РЯЗАНСКАЯ ОБЛ,360
РЯЗАНСКАЯ ОБЛАСТЬ,267
САМАРСКАЯ,39
САМАРСКАЯ ОБЛ,1287
САМАРСКАЯ ОБЛАСТЬ,790
САНКТ-ПЕТЕРБУРГ,5248
САНКТ-ПЕТЕРБУРГ Г,2441
САРАТОВСКАЯ ОБЛ,1357
САРАТОВСКАЯ ОБЛАСТЬ,671
САХА /ЯКУТИЯ/,1
САХА /ЯКУТИЯ/ РЕСП,1194
САХАЛИНСКАЯ ОБЛ,447
САХАЛИНСКАЯ ОБЛАСТЬ,190
СВЕРДЛОВСКАЯ,1
СВЕРДЛОВСКАЯ ОБЛ,3819
СВЕРДЛОВСКАЯ ОБЛАСТЬ,1879
СЕВ. ОСЕТИЯ - АЛАНИЯ,47
СЕВЕРНАЯ ОСЕТИЯ - АЛАНИЯ РЕСП,275
СМОЛЕНСКАЯ ОБЛ,635
СМОЛЕНСКАЯ ОБЛАСТЬ,272
СТАВРОПОЛЬСКИЙ,4
СТАВРОПОЛЬСКИЙ КРАЙ,1890
ТАМБОВСКАЯ ОБЛ,625
ТАМБОВСКАЯ ОБЛАСТЬ,372
ТАТАРСТАН РЕСП,4918
ТВЕРСКАЯ ОБЛ,878
ТВЕРСКАЯ ОБЛАСТЬ,482
ТОМСКАЯ,1
ТОМСКАЯ ОБЛ,337
ТОМСКАЯ ОБЛАСТЬ,210
ТУЛЬСКАЯ ОБЛ,828
ТУЛЬСКАЯ ОБЛАСТЬ,398
ТЫВА РЕСП,375
ТЮМЕНСКАЯ,1
ТЮМЕНСКАЯ ОБЛ,1111
ТЮМЕНСКАЯ ОБЛАСТЬ,564
УДМУРТСКАЯ РЕСП,724
УДМУРТСКАЯ РЕСПУБЛИКА,283
УЛЬЯНОВСКАЯ ОБЛ,548
УЛЬЯНОВСКАЯ ОБЛАСТЬ,322
ХАБАРОВСКИЙ КРАЙ,1349
ХАКАСИЯ,1
ХАКАСИЯ РЕСП,317
ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ - ЮГРА,2229
ХАНТЫ-МАНСИЙСКИЙ АО,1403
ЧЕЛЯБИНСКАЯ ОБЛ,2765
ЧЕЛЯБИНСКАЯ ОБЛАСТЬ,1487
ЧЕЧЕНСКАЯ РЕСП,8
ЧЕЧЕНСКАЯ РЕСПУБЛИКА,3
ЧИТИНСКАЯ ОБЛ,17
ЧУВАШИЯ ЧУВАШСКАЯ РЕСПУБЛИКА -,51
ЧУВАШСКАЯ - ЧУВАШИЯ РЕСП,64
ЧУВАШСКАЯ РЕСП,1
ЧУВАШСКАЯ РЕСПУБЛИКА,263
ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ,483
ЧУКОТСКИЙ АО,28
ЭВЕНКИЙСКИЙ АО,1
ЯМАЛО-НЕНЕЦКИЙ АО,1751
ЯРОСЛАВСКАЯ ОБЛ,517
ЯРОСЛАВСКАЯ ОБЛАСТЬ,305
